cardNumber,setCode,commander,foil
201,2X2,Y,
172,LTR,,
264,USG,,
241,KTK,,
226,AFC,,
155,IMA,,
283,NCC,,
230,WAR,,
1,M19,,
187,C18,,
277,MID,,
190,M19,,
186,BRO,,
273,MID,,
268,MID,,Y
269,MID,,Y
177,M21,,
208,M21,,
75,J22,,
269,MID,,
180,ZNR,,
260,CMR,,
248,IKO,,
330,2X2,,
142,2X2,,Y
100,SOI,,
277,MID,,
128,EVE,,
198,VOW,,
415,LTR,,
142,ZNC,,
200,M19,,
302,C21,,
276,MID,,Y
58,BNG,,
276,MID,,
409,2X2,,Y
5,F15,,Y
277,MID,,Y
223,RTR,,
200,M21,,
126,M21,,
303,IKO,,
99,VOW,,
94,MH1,,
276,MID,,Y
190,ELD,,
276,MID,,
276,MID,,Y
128,MOR,,
13,MOR,,
269,NEO,,
183,GTC,,
69,5ED,,
82,PLS,,
650,CMM,,
123,GRN,,
148,STX,,
165,THB,,
68,ZNC,,
34,VOC,,
176,LCI,,
199,M19,,
269,MID,,
2,LTR,,
272,MID,,
108,EMA,,
3,CMR,,
132,GRN,,
169,C13,,
1,PLG22,,
147,MOR,,
32,C15,,
137,MOR,,
138,2X2,,
37,CLB,,
247,SNC,,Y
176,ELD,,
277,MID,,
273,MID,,
406,2X2,,
371,2X2,,
45,CLB,,
10,SLX,,
239,LRW,,
256,LTR,,Y
207,DTK,,
301,2X2,,
99,WAR,,
114,MOR,,
230,VOW,,
38,SCD,,
900,CLB,,
272,MID,,
277,MID,,Y
268,MID,,
239,SOI,,
132,DGM,,
352,10E,,
168,NEC,,
